Symbol,CoinName
42,42 Coin
NSR,NuShares
TRI,Triangles Coin
CMTC,CometCoin
CHAT,OpenChat
PURA,Pura
ADK,Aidos Kuneen
DAPS,DAPS Coin
ZANO,Zano
VEIL,VEIL
MWC,MimbleWimbleCoin
RVC,Ravencoin Classic
GMX,Goldmaxcoin
XDNA,XDNA
WBBC,Wibcoin
TPAY,TokenPay
ETZ,EtherZero
QRK,QuarkCoin
AR,Arweave
BTH,Bithereum
BCMC1,BeforeCoinMarketCap
RBTC,Smart Bitcoin
UBTC,UnitedBitcoin
VRC,VeriCoin
EMC,Emercoin
COVAL,Circuits of Value
ERG,Ergo
GENIX,Genix
BEAM,Beam
STRAX,Stratis
AEON,AEON
TENT,TENT
ARRR,Pirate Chain
INT,Internet Node token
SFP,SafePal
CKB,Nervos Network
HNS,Handshake
AURORAC,Auroracoin
VAL,Validity
ENS,Ethereum Name Service
AMB,Amber
BTCZ,BitcoinZ
XEC,eCash
ANC,Anchor Protocol
EXP,Expanse
SMART,SmartCash
OXYC,Oxycoin
BDX,Beldex
FLO,Flo
SIGNA,Signa
XWC,WhiteCoin
POT,PotCoin
NXT,Nxt
MAPS,MAPS
CDN,Canada eCoin
BTCP,Bitcoin Private
DCR,Decred
NLG,Gulden
BLOCKN,BlockNet
SYS,SysCoin
PIVX,Private Instant Verified Transaction
BLK,BlackCoin
EMC2,Einsteinium
USX,USX Quantum
LTC,Litecoin
SERO,Super Zero
XSN,Stakenet
BCD,Bitcoin Diamond
BTT,BitTorrent
UBQ,Ubiq
VIA,ViaCoin
DERO,Dero
GRIN,Grin
KCASH,Kcash
SUPERC,SuperCoin
QRL,Quantum Resistant Ledger
ZEL,Zelcash
ZEC,ZCash
WAVES,Waves
VTC,Vertcoin
XVG,Verge
VET,VeChain
VSYS,V Systems
ACT,Achain
AAC,Acute Angle Cloud
AION,Aion
ARK,ARK
BNB,Binance Coin
BTC,Bitcoin
BCH,Bitcoin Cash
BTG,Bitcoin Gold
BSV,Bitcoin SV
BTS,Bitshares
BLOCM,BLOC.MONEY
FTC,FeatherCoin
FIRO,Firo
GRS,Groestlcoin
XHV,Haven Protocol
STEEM,Steem
ZEN,Horizen
HC,HyperCash
ICX,ICON Project
IOC,IOCoin
KMD,Komodo
SC,Siacoin
SHIFT,Shift
LSK,Lisk
MEC,MegaCoin
SLS,SaluS
SAFEX,SafeExchangeCoin
RISE,Rise
MONA,MonaCoin
XMR,Monero
BCN,ByteCoin
CLO,Callisto Network
ADA,Cardano
NMC,Namecoin
RDD,Reddcoin
NANO,Nano
CLOAK,CloakCoin
NAV,NavCoin
QTUM,QTUM
PST,Primas
POA,Poa Network
NXS,Nexus
NVC,NovaCoin
ONT,Ontology
DASH,Dash
DGB,DigiByte
XDN,DigitalNote
DOGE,Dogecoin
EOS,EOS
ETH,Ethereum
ETC,Ethereum Classic
TCR,TecraCoin
SIB,SibCoin
